1904 SANDY COVE DR, KALAMAZOO, MICHIGAN,49048,111100,42.303719,-85.515961,0,0.0,0.0
1028 FERNDALE AVE, KALAMAZOO, MICHIGAN,49001,64800,42.254674,-85.568222,0,0.0,0.0
1113 LANE BLVD, KALAMAZOO, MICHIGAN,49001,17300,42.272447,-85.566415,0,0.0,0.0
3114 VIRGINIA AVE, KALAMAZOO, MICHIGAN,49004,43400,42.322012,-85.559405,0,0.0,0.0
1142 FARGO, KALAMAZOO, MICHIGAN,49004,25700,42.315863,-85.565613,0,0.0,0.0
2141 AMHERST AVE, KALAMAZOO, MICHIGAN,49008,32800,42.257509,-85.614819,0,0.0,0.0
2000 BARNEY RD, KALAMAZOO, MICHIGAN,49004,52000,42.318104,-85.613628,0,0.0,0.0
1027 SHERWOOD AVE, KALAMAZOO, MICHIGAN,49048,17100,42.297308,-85.568225,0,0.0,0.0
3315 BROOKFIELD, KALAMAZOO, MICHIGAN,49048,16600,42.279717,-85.539011,0,0.0,0.0
2516 CORLOT ST, KALAMAZOO, MICHIGAN,49004,37300,42.329517,-85.549215,0,0.0,0.0
5225 FORDHAM, KALAMAZOO, MICHIGAN,49048,41100,42.309609,-85.527021,0,0.0,0.0
2924 ALAMO AVE, KALAMAZOO, MICHIGAN,49006,30000,42.307209,-85.625243,0,0.0,0.0
909 EDISON ST, KALAMAZOO, MICHIGAN,49004,23600,42.33017,-85.596555,0,0.0,0.0
5381 THAYER AVE, KALAMAZOO, MICHIGAN,49004,60699,42.337953,-85.558431,0,0.0,0.0
3516 LOWDEN ST, KALAMAZOO, MICHIGAN,49008,23400,42.257528,-85.625945,0,0.0,0.0
1517 PORTAGE ST, KALAMAZOO, MICHIGAN,49001,0,42.276275,-85.570173,0,0.0,0.0
1006 LANE BLVD, KALAMAZOO, MICHIGAN,49001,13400,42.272164,-85.567715,0,0.0,0.0
35382 22ND, KALAMAZOO, MICHIGAN,49009,28700,42.294298,-85.766083,0,0.0,0.0
3606 STEWART DRIVE, KALAMAZOO, MICHIGAN,49048,31000,42.276384,-85.536777,0,0.0,0.0
2233 FLOWER STREET, KALAMAZOO, MICHIGAN,49001,0,42.268755,-85.568595,0,0.0,0.0
2023 SCHIPPERS LN., KALAMAZOO, MICHIGAN,49048,21800,42.292041,-85.554998,0,0.0,0.0
6453 TWILIGHT AVENUE, KALAMAZOO, MICHIGAN,49048,58400,42.325693,-85.503466,0,0.0,0.0
2334 EAST MAIN STREET, KALAMAZOO, MICHIGAN,49048,22000,42.302988,-85.550787,0,0.0,0.0
254 EAST D AVENUE, KALAMAZOO, MICHIGAN,49009,190068,42.37639,-85.587732,0,0.0,0.0
1323 BROWNELL STREET, KALAMAZOO, MICHIGAN,49006,41200,42.30374,-85.611067,0,0.0,0.0
508 LAY BOULEVARD, KALAMAZOO, MICHIGAN,49001,15700,42.273074,-85.575103,0,0.0,0.0
5125 LANDS END DRIVE, KALAMAZOO, MICHIGAN,49009,60970,42.334839,-85.620567,0,0.0,0.0
2804 MOUNT OLIVET, KALAMAZOO, MICHIGAN,49004,33800,42.317944,-85.556244,0,0.0,0.0
50 BLANCHE AVENUE, KALAMAZOO, MICHIGAN,49001,26500,42.249267,-85.580698,0,0.0,0.0
3419 SOUTH 9TH STREET, KALAMAZOO, MICHIGAN,49009,48400,42.257851,-85.677367,0,0.0,0.0
7777 STADIUM DRIVE, KALAMAZOO, MICHIGAN,49009,46200,42.253581,-85.704866,0,0.0,0.0
5373 NORTH RIVERVIEW DRIVE, KALAMAZOO, MICHIGAN,49004,32428,42.338161,-85.560146,0,0.0,0.0
6007 CHUBB AVENUE, KALAMAZOO, MICHIGAN,49048,21500,42.289197,-85.511837,0,0.0,0.0
3029 EMERALD DRIVE, KALAMAZOO, MICHIGAN,49001,49000,42.261198,-85.550365,0,0.0,0.0
5665 JOSEPHINE STREET, KALAMAZOO, MICHIGAN,49048,22800,42.289274,-85.518043,0,0.0,0.0
1011 DAYTON, KALAMAZOO, MICHIGAN,49048,19400,42.301433,-85.545337,0,0.0,0.0
6381 EAST JK AVENUE, KALAMAZOO, MICHIGAN,49048,47200,42.295774,-85.504245,0,0.0,0.0
5273 NORTH 20TH STREET, KALAMAZOO, MICHIGAN,49004,2563,42.336791,-85.570574,0,0.0,0.0
1240 JEFFERSON, KALAMAZOO, MICHIGAN,49006,22100,42.296181,-85.601648,0,0.0,0.0
197 HOMER STREET, KALAMAZOO, MICHIGAN,49048,17400,42.286928,-85.490658,0,0.0,0.0
1103 FAIRBANKS AVENUE, KALAMAZOO, MICHIGAN,49048,18300,42.302319,-85.561675,0,0.0,0.0
5467 KEYES DRIVE, KALAMAZOO, MICHIGAN,49004,19758,42.339635,-85.560613,0,0.0,0.0
911 MILLS STREET, KALAMAZOO, MICHIGAN,49001,19700,42.282848,-85.566356,0,0.0,0.0
119 WALL STREET, KALAMAZOO, MICHIGAN,49001,49100,42.281093,-85.583366,0,0.0,0.0
527 WITWER COURT, KALAMAZOO, MICHIGAN,49001,0,42.269116,-85.573702,0,0.0,0.0
6582 CELERY STREET, KALAMAZOO, MICHIGAN,49048,31200,42.280955,-85.500489,0,0.0,0.0
3304 RANDOM, KALAMAZOO, MICHIGAN,49004,28900,42.323444,-85.552463,0,0.0,0.0
127 NORTH 26TH STREET, KALAMAZOO, MICHIGAN,49048,44700,42.289721,-85.510913,0,0.0,0.0
2222 REGENT, KALAMAZOO, MICHIGAN,49004,0,42.314488,-85.566529,0,0.0,0.0
6504 CELERY STREET, KALAMAZOO, MICHIGAN,49048,37700,42.280924,-85.502094,0,0.0,0.0
2417 LINCOLN STREET, KALAMAZOO, MICHIGAN,49048,21300,42.288744,-85.548913,0,0.0,0.0
2517 SONORA, KALAMAZOO, MICHIGAN,49004,25600,42.316168,-85.565116,0,0.0,0.0
5059 SOUTH 9TH STREET, KALAMAZOO, MICHIGAN,49009,1442600,42.244431,-85.677382,0,0.0,0.0
5950 NORTH 20TH STREET, KALAMAZOO, MICHIGAN,49004,30411,42.346535,-85.570284,0,0.0,0.0
654 RIVER STREET, KALAMAZOO, MICHIGAN,49048,136600,42.282571,-85.515329,0,0.0,0.0
3800 EAST CORK STREET, KALAMAZOO, MICHIGAN,49001,1506300,42.262103,-85.532827,0,0.0,0.0
3531 LOWDEN STREET, KALAMAZOO, MICHIGAN,49008,0,42.257359,-85.625575,0,0.0,0.0
923 SOUTH BURDICK STREET, KALAMAZOO, MICHIGAN,49001,79000,42.282216,-85.582775,0,0.0,0.0
527 DENWAY DRIVE, KALAMAZOO, MICHIGAN,49008,31200,42.251792,-85.590666,0,0.0,0.0
3611 EAST KILGORE ROAD, KALAMAZOO, MICHIGAN,49001,136700,42.245109,-85.539347,0,0.0,0.0
2042 LANE BOULEVARD, KALAMAZOO, MICHIGAN,49001,42900,42.272173,-85.555237,0,0.0,0.0
318 CHICAGO AVENUE, KALAMAZOO, MICHIGAN,49048,21500,42.295017,-85.553198,0,0.0,0.0
5934 FRANCIS STREET, KALAMAZOO, MICHIGAN,49048,1700,42.282249,-85.512921,0,0.0,0.0
611 COLLINS STREET, KALAMAZOO, MICHIGAN,49001,16200,42.279788,-85.573456,0,0.0,0.0
325 DARLING STREET, KALAMAZOO, MICHIGAN,49048,18600,42.293836,-85.547135,0,0.0,0.0
1207 HAYS PARK AVENUE, KALAMAZOO, MICHIGAN,49001,13700,42.274917,-85.565265,0,0.0,0.0
1318 HUMPHREY STREET, KALAMAZOO, MICHIGAN,49048,0,42.303083,-85.564248,0,0.0,0.0
1334 NORTH PARK STREET, KALAMAZOO, MICHIGAN,49007,0,42.304258,-85.587457,0,0.0,0.0
549 FENIMORE, KALAMAZOO, MICHIGAN,49048,0,42.296758,-85.554345,0,0.0,0.0
1023 LAY BOULEVARD, KALAMAZOO, MICHIGAN,49001,20700,42.273365,-85.567526,0,0.0,0.0
2128 PORTAGE STREET, KALAMAZOO, MICHIGAN,49001,15700,42.269754,-85.572098,0,0.0,0.0
231 FORESMAN, KALAMAZOO, MICHIGAN,49048,15900,42.293684,-85.561222,0,0.0,0.0
501 FENIMORE AVENUE, KALAMAZOO, MICHIGAN,49048,0,42.295857,-85.554325,0,0.0,0.0
2854 MOUNT OLIVET ROAD, KALAMAZOO, MICHIGAN,49004,33700,42.318247,-85.555829,0,0.0,0.0
1000 WEST D AVENUE, KALAMAZOO, MICHIGAN,49009,86395,42.376654,-85.603843,0,0.0,0.0
1109 WILLIS AVENUE, KALAMAZOO, MICHIGAN,49048,8700,42.280585,-85.547083,0,0.0,0.0
2825 MAPLE AVENUE, KALAMAZOO, MICHIGAN,49048,34000,42.319249,-85.533014,0,0.0,0.0
3925 SOUTH BURDICK, KALAMAZOO, MICHIGAN,49001,45800,42.252474,-85.579665,0,0.0,0.0
2215 WASHINGTON AVENUE, KALAMAZOO, MICHIGAN,49048,19300,42.278826,-85.552289,0,0.0,0.0
916 E STOCKBRIDGE AVENUE, KALAMAZOO, MICHIGAN,49001,7100,42.27734,-85.57183,0,0.0,0.0
1004 FLETCHER AVENUE, KALAMAZOO, MICHIGAN,49006,0,42.301124,-85.620119,0,0.0,0.0
254 E D AVENUE BOX APT 39, KALAMAZOO, MICHIGAN,49009,190068,42.37639,-85.587732,0,0.0,0.0
1517 LANE BOULEVARD, KALAMAZOO, MICHIGAN,49001,19000,42.272447,-85.561476,0,0.0,0.0
1526 UPLAND DRIVE, KALAMAZOO, MICHIGAN,49048,22100,42.306244,-85.541921,0,0.0,0.0
823 Oakland Dr, KALAMAZOO, MICHIGAN,49008,24900,42.283301,-85.598368,0,0.0,0.0
219 DELLA ST, PORTAGE, MICHIGAN,49002,29300,42.223323,-85.588099,0,0.0,0.0
5530 LEXINGTON CIR, PORTAGE, MICHIGAN,49002,51000,42.236722,-85.533895,0,0.0,0.0
205 DAWNLEE, PORTAGE, MICHIGAN,49002,57900,42.234524,-85.588875,0,0.0,0.0
5541 LOVERS LN, PORTAGE, MICHIGAN,49002,42600,42.23627,-85.574351,0,0.0,0.0
8036 LOVERS LANE, PORTAGE, MICHIGAN,49002,44300,42.200468,-85.574797,0,0.0,0.0
7146 LOVERS LANE, PORTAGE, MICHIGAN,49002,37600,42.212912,-85.574779,0,0.0,0.0
2610 STANLEY, PORTAGE, MICHIGAN,49002,50200,42.175363,-85.558133,0,0.0,0.0
1722 QUAKER AVENUE, PORTAGE, MICHIGAN,49024,42900,42.237058,-85.609764,0,0.0,0.0
5530 LEXINGTON CIRCLE, PORTAGE, MICHIGAN,49002,51000,42.236722,-85.533895,0,0.0,0.0
9624 SOUTH SPRINKLE ROAD, PORTAGE, MICHIGAN,49002,35800,42.177631,-85.530688,0,0.0,0.0
5834 CRANSTON STREET, PORTAGE, MICHIGAN,49002,46800,42.232705,-85.535377,0,0.0,0.0
8119 BRUNING STREET, PORTAGE, MICHIGAN,49002,41200,42.198814,-85.57626,0,0.0,0.0
1950 VANDERBILT, PORTAGE, MICHIGAN,49024,65100,42.183013,-85.612006,0,0.0,0.0
3140 EAST KILGORE, PORTAGE, MICHIGAN,49002,316700,42.244846,-85.54179,0,0.0,0.0
8605 NEWELLS LANE, PORTAGE, MICHIGAN,49002,30600,42.192295,-85.569598,0,0.0,0.0
4212 WINTHROP, PORTAGE, MICHIGAN,49002,47700,42.233995,-85.538907,0,0.0,0.0
1025 SHUMWAY AVENUE, PORTAGE, MICHIGAN,49002,46100,42.197057,-85.577612,0,0.0,0.0
1727 PLEASANT DRIVE, PORTAGE, MICHIGAN,49002,53800,42.199497,-85.569402,0,0.0,0.0
8021 OAK STREET BOX APT 2, PORTAGE, MICHIGAN,49024,50100,42.200737,-85.593639,0,0.0,0.0
5328 WISTERIA, PORTAGE, MICHIGAN,49002,48000,42.239816,-85.587885,0,0.0,0.0
1103 SCHURING, PORTAGE, MICHIGAN,49024,8800,42.20812,-85.601717,0,0.0,0.0
302 PORTAGE AVENUE, THREE RIVERS, MICHIGAN,49093,60000,41.94853,-85.632079,0,0.0,0.0
404 FIFTH STREET, THREE RIVERS, MICHIGAN,49093,16100,41.93914,-85.628226,0,0.0,0.0
652 SPRING STREET, THREE RIVERS, MICHIGAN,49093,30700,41.936009,-85.636277,0,0.0,0.0
515 HILL STREET, THREE RIVERS, MICHIGAN,49093,28100,41.935124,-85.638993,0,0.0,0.0
58554 KERR CREEK ROAD, THREE RIVERS, MICHIGAN,49093,52700,41.946546,-85.651379,0,0.0,0.0
810 SOUTH DOUGLAS, THREE RIVERS, MICHIGAN,49093,40400,41.934032,-85.642184,0,0.0,0.0
59823 CONSTANTINE ROAD, THREE RIVERS, MICHIGAN,49093,52900,41.926985,-85.636126,0,0.0,0.0
506 MECHANIC, THREE RIVERS, MICHIGAN,49093,15900,41.938972,-85.627188,0,0.0,0.0
1020 8TH STREET, THREE RIVERS, MICHIGAN,49093,22800,41.93237,-85.624572,0,0.0,0.0
