5632 JILL ANNE DRIVE COLOMA MICHIGAN,42.173361,-86.32175699999999
4241 EAST THAR ROAD COLOMA MICHIGAN,42.2012069,-86.355694
5394 PAW PAW LAKE ROAD COLOMA MICHIGAN,42.208381,-86.2871977
5949 NORTH COLOMA ROAD COLOMA MICHIGAN,42.21967129999999,-86.29889209999999
7180 ARIES LANE COLOMA MICHIGAN,42.2416422,-86.3580955
7142 ARIES LANE COLOMA MICHIGAN,42.2412942,-86.3584802
6275 CENTRAL AVENUE 3 COLOMA MICHIGAN,42.225911,-86.37397299999999
6220 APPLE STREET EAU CLAIRE MICHIGAN,41.986295,-86.30642700000001
5534 PARKWAY DRIVE EAU CLAIRE MICHIGAN,42.075959,-86.32398099999999
5582 TOUSLEY DRIVE EAU CLAIRE MICHIGAN,42.07686899999999,-86.322845
7076 BEAVER DRIVE EAU CLAIRE MICHIGAN,41.984889,-86.2867179
1010 FERRY STREET NILES MICHIGAN,41.8314752,-86.24738769999999
1027 HERBERT NILES MICHIGAN,41.8173938,-86.2278647
301 17TH STREET C NILES MICHIGAN,41.830722,-86.2342369
902 OAK STREET NILES MICHIGAN,41.8267237,-86.2490207
904 SYCAMORE STREET NILES MICHIGAN,41.8305531,-86.2488937
1101.5 CEDAR STREET NILES MICHIGAN,41.8288637,-86.24648409999999
1610 N 5TH STREET NILES MICHIGAN,41.8435739,-86.2511057
1610 N 5TH STREET NILES MICHIGAN,41.8435739,-86.2511057
3156 DETROIT ROAD NILES MICHIGAN,41.8539441,-86.12918599999999
2328 DR EMERALD NILES MICHIGAN,41.7836489,-86.24300889999999
819 HIGHLAND AVENUE SAINT JOSEPH MICHIGAN,42.0856404,-86.4835246
3101 RIVER RD 09 SODUS MICHIGAN,42.0609506,-86.3983542
604 WEST JOHN BEERS ROAD STEVENSVILLE MICHIGAN,42.0110413,-86.46807609999999
5355 M-140 N WATERVLIET MICHIGAN,42.20752299999999,-86.244556
273 WEST SOUTHERN ROAD BRONSON MICHIGAN,41.781265,-85.09250569999999
1167 HOLLOW ROAD BRONSON MICHIGAN,41.8662165,-85.26435049999999
529 WEST CHICAGO ROAD BRONSON MICHIGAN,41.8938949,-85.1428182
602 SOUTH PARHAM ROAD BRONSON MICHIGAN,41.8250558,-85.16500309999999
438 NORTH WALKER STREET BRONSON MICHIGAN,41.8762722,-85.19631439999999
216 BUCAHANON STREET BRONSON MICHIGAN,41.8748376,-85.19340179999999
216 BUCAHANON STREET BRONSON MICHIGAN,41.8748376,-85.19340179999999
1163 HOLLOW ROAD BRONSON MICHIGAN,41.8668349,-85.263336
343 PARADINE RD ` COLDWATER MICHIGAN,41.8511382,-85.01211239999999
125 EAST WASHINGTON STREET COLDWATER MICHIGAN,41.9373561,-84.99629829999999
57 DIVISION STREET COLDWATER MICHIGAN,41.9384839,-85.0009197
196 NORTH ANGOLA ROAD 2 COLDWATER MICHIGAN,41.9122798,-85.0057461
